Country,PaymentCount,PaymentAmount,VatAmount
AE,8,190.76,0.0
AL,8,101.06,0.0
AM,4,5.0,0.0
AR,1,24.9,0.0
AT,39,837.45,139.62
AU,3,39.8,0.0
BE,31,646.85,112.97
BG,8,179.2,31.09
BR,20,382.95,0.0
CA,7,100.6,0.0
CH,38,683.14,0.0
CL,2,34.39,0.0
CN,3,64.7,0.0
CO,3,74.7,0.0
CR,4,54.7,0.0
CY,83,1391.59,222.42
CZ,563,10522.9,1826.25
DE,267,5544.49,885.94
DK,48,930.3,186.06
EE,2,39.8,6.64
EG,9,207.78,0.0
ES,109,2318.17,404.4
FI,1,9.9,1.92
FR,91,1940.42,323.51
GB,303,6016.67,0.0
GR,4158,59376.13,11500.94
HK,4,83.79,0.0
HR,10,210.05,42.01
HU,8,117.2,24.89
ID,7,124.4,0.0
IE,33,681.85,127.56
IN,5,109.5,0.0
IS,4,99.6,0.0
IT,109,2243.25,404.58
KW,1,24.9,0.0
KZ,5,85.77,0.0
LB,2,44.8,0.0
LT,5,86.5,15.01
LU,14,293.7,40.47
LV,3,44.7,7.76
MA,4,74.7,0.0
MD,1,9.9,0.0
ME,3,57.5,0.0
MK,5,89.55,0.0
MT,8,179.3,27.36
MX,8,199.1,0.0
NI,1,19.9,0.0
NL,77,1555.11,269.84
NO,51,1052.0,0.0
PA,1,24.9,0.0
PK,121,935.9,0.0
PL,45,888.35,166.17
PR,2,44.8,0.0
PT,92,1910.45,358.48
QA,2,10.0,0.0
RO,8,159.3,25.46
RS,28,511.2,0.0
SE,9,198.75,39.75
SG,3,64.7,0.0
SI,11,238.7,43.05
SK,35,562.34,93.75
SM,1,24.9,0.0
TH,1,10.0,0.0
TR,42,762.33,0.0
UA,8,148.74,0.0
US,46,880.64,0.0
UZ,2,25.89,0.0
ZA,2,39.7,0.0
