Country,PaymentCount,PaymentAmount,VatAmount,BusinessVatAmount
AE,4,27.39,0.0,0.0
AL,3,89.7,0.0,0.0
AM,168,295.0,0.0,0.0
AT,147,3410.95,568.38,1.98
AU,3,74.7,0.0,0.0
BA,63,1300.45,0.0,0.0
BE,32,711.66,123.53,0.0
BG,11,300.89,52.21,0.0
BR,5,89.6,0.0,0.0
BY,4,30.4,0.0,0.0
CA,5,96.6,0.0,0.0
CH,25,452.72,0.0,0.0
CL,1,19.9,0.0,0.0
CY,4,32.88,5.26,0.0
CZ,339,5097.4,884.52,0.0
DE,82,1572.72,251.17,7.56
DK,16,250.39,50.08,0.0
DO,1,6.99,0.0,0.0
EE,6,69.2,11.53,0.0
ES,17,281.1,48.77,0.0
FI,6,159.4,30.86,0.0
FR,58,1104.94,184.1,0.0
GB,104,1830.58,0.0,0.0
GE,19,134.4,0.0,0.0
GR,621,5070.97,981.55,6.59
HK,3,74.7,0.0,0.0
HR,309,6714.6,1342.92,11.21
HU,55,1310.32,278.55,5.37
IE,6,97.67,18.27,0.0
IL,8,112.74,0.0,0.0
IN,1,2.0,0.0,0.0
IS,37,958.1,0.0,0.0
IT,114,2333.83,420.93,6.58
JP,2,59.8,0.0,0.0
KG,2,21.9,0.0,0.0
KR,1,19.9,0.0,0.0
KZ,9,59.1,0.0,0.0
LT,10,172.2,29.88,0.0
LU,5,88.52,12.2,0.0
LV,5,87.5,15.19,0.0
MA,2,59.8,0.0,0.0
ME,111,1671.4,0.0,0.0
MK,35,743.2,0.0,0.0
MT,17,169.61,25.86,0.0
MX,3,60.7,0.0,0.0
MY,1,19.9,0.0,0.0
MZ,2,29.85,0.0,0.0
NL,592,11275.99,1957.82,17.75
NO,9,145.09,0.0,0.0
PK,2,4.0,0.0,0.0
PL,33,697.0,130.33,0.0
PT,8,288.75,53.99,0.0
QA,4,8.0,0.0,0.0
RO,2,44.8,7.16,0.0
RS,565,8889.19,0.0,0.0
SA,3,21.9,0.0,0.0
SE,9,133.4,26.68,0.0
SI,1364,28966.09,5224.57,72.28
SK,23,451.95,75.33,0.0
SR,2,44.8,0.0,0.0
TJ,3,10.9,0.0,0.0
TR,12,70.85,0.0,0.0
UA,6,94.5,0.0,0.0
US,33,508.69,0.0,0.0
UZ,4,33.35,0.0,0.0
